// Format: letter #|letter from passage|predicted letters|scan time
1181|s|!"#$%|6
1182|e|tlmic|6
1183|d|oh!"#|7
1184| |!"#$%|3
1185|t|rtgdh|3
1186|o|e!"#$|12
1187| |a!"#$|3
1188|w|d!"#$|5
1189|a|,?.!"|5
1190|t|taice|2
1191|c|nv!"#|8
1192|h|c!"#$|10
1193| |y!"#$|3
1194|y|c!"#$|9
1195|o|l!"#$|12
1196|u|o!"#$|10
1197|r|p!"#$|7
1198| |e!"#$|3
1199|d|d!"#$|2
1200|a|i!"#$|5
1201|d|a!"#$|7
1202| |s!"#$|3
1203|d|-.!"#|7
1204|a|!"#$%|5
1205|n|!"#$%|11
1206|c|n!"#$|8
1207|e|!"#$%|6
1208| |y!"#$|3
1209|w|o!"#$|5
1210|i|u!"#$|11
1211|t|r!"#$|8
1212|h|!"#$%|10
1213| |f!"#$|3
1214|a|a!"#$|2
1215|l|m!"#$|13
1216|l|i!"#$|13
1217| |l!"#$|3
1218|t|y!"#$|8
1219|h|,.?'!|10
1220|e|!"#$%|6
1221| |atdis|3
1222|o|o!"#$|2
1223|t|!"#$%|8
1224|h|y!"#$|10
1225|e|o!"#$|6
1226|r|u!"#$|7
1227| |!"#$%|3
1228|g|rhk!"|9
1229|i|e!"#$|11
1230|r|mac!"|7
1231|l|e!"#$|13
1232|s|m!"#$|6
1233| |b-!"#|3
1234|a|e!"#$|5
1235|n|r!"#$|11
1236|d|?e,!"|7
1237| |atwhr|3
1238|h|tfsnv|10
1239|e|!"#$%|6
1240| |hty!"|3
1241|w|h!"#$|5
1242|a|e!"#$|5
1243|s|r!"#$|6
1244| |e!"#$|3
1245|a|'!"#$|5
1246| |wh!"#|3
1247|w|a!"#$|5
1248|o|s!"#$|12
1249|n|,n-!"|3
1250|d|antos|7
1251|e|n,lbc|6
1252|r|yo!"#|7
1253|f|t!"#$|8
1254|u|s!"#$|10
1255|l|t!"#$|13
1256| |o!"#$|3
1257|d|r!"#$|7
1258|a|y!"#$|5
1259|n|t.!"#|11
1260|c|e!"#$|8
1261|e|l!"#$|6
1262|r|l!"#$|7
1263| |ei!"#|3
1264|a|r!"#$|5
1265|n|.?s!"|11
1266|d|!"#$%|7
1267| |!"#$%|3
1268|I|e!"#$|11
1269| |l!"#$|3
1270|r|l!"#$|7
1271|e|,!"#$|6
1272|a|!"#$%|5
1273|l|ms!"#|13
1274|l|y!"#$|13
1275|y|!"#$%|9
1276| |bgcdf|3
1277|l|n!"#$|13
1278|i|c!"#$|11
1279|k|l!"#$|12
1280|e|e!"#$|2
1281|d|s!"#$|7
1282| |wi!dh|3
1283|h|ae!"#|10
1284|i|s!"#$|11
1285|m|!"#$%|12
1286|.|ail!"|4
1287| |l!"#$|3
1288|U|w!"#$|10
1289|s|a!"#$|6
1290|e|y!"#$|6
1291|d|s!"#$|7
1292| |,!"#$|3
1293|t|tbija|2
1294|o|herao|6
1295| |ln!"#|3
1296|s|l!"#$|6
1297|i|is!"#|2
1298|t|n!"#$|8
1299| |g!"#$|3
1300|a|!"#$%|5
1301|n|hmsty|11
1302|d|t!"#$|7
1303| |o!"#$|3
1304|l|r!"#$|13
1305|o|i!"#$|12
1306|o|e!"#$|12
1307|k|s!"#$|12
1308| |,.?!"|3
1309|a|atfoy|2
1310|t|bnstr|5
1311| |d!"#$|3
1312|t|,!"#$|8
1313|h|!"#$%|10
1314|e|u!"#$|6
1315| |mh!"#|3
1316|k|,!"#$|12
1317|i|!"#$%|11
1318|d|twsah|7
1319|s|eha!"|6
1320| |',nl!|3
1321|d|wtcha|7
1322|a|a!"#$|2
1323|n|dv!"#|11
1324|c|n!"#$|8
1325|e|t(aps|6
1326| |ohw!"|3
1327|a|eio!"|5
1328|n|s!"#$|11
1329|d|!"#$%|7
1330| |lptbe|3
1331|I|o!"#$|11
1332|'|u!"#$|10
1333|d|s!"#$|7
1334| |e!"#$|3
1335|l|,!"#$|13
1336|i|ahrio|5
1337|s|cn!"#|6
1338|t|r!"#$|8
1339|e|o!"#$|6
1340|n|s!"#$|11
1341| |s!"#$|3
1342|t|!"#$%|8
1343|o|t!"#$|12
1344| |ho!"#|3
1345|B|e!"#$|10
1346|e|ir!"#|6
1347|e|sbcfh|6
1348|t|te!"#|2
1349|l|r!"#$|13
1350|e|e!"#$|2
1351|s|e!"#$|6
1352| |t!"#$|3
1353|s|,.s!?|4
1354|o|ftwba|12
1355|n|r!"#$|11
1356|g|o!"#$|9
1357|s|m!"#$|6
1358|.|!"#$%|4
1359| |mwue!|3
1360|I|h!"#$|11
1361| |e!"#$|3
1362|w|r!"#$|5
1363|o|e!"#$|12
1364|u|!"#$%|10
1365|l|w!"#$|13
1366|d|'!"#$|7
1367| |wgl!"|3
1368|l|eor!"|13
1369|o|e!"#$|12
1370|o|w!"#$|12
1371|k|!"#$%|12
1372| |u!"#$|3
1373|a|p!"#$|5
1374|t|,.!"#|8
1375| |iatmo|3
1376|L|h!"#$|13
1377|a|ea!"#|3
1378|r|t!"#$|7
1379|r|!"#$%|7
1380|y|w!"#$|9
1381| |ae!"#|3
1382|a|ys!"#|5
1383|n|!"#$%|11
1384|d|atmwo|7
1385| |nuvlp|3
1386|I|d!"#$|11
1387| |!"#$%|3
1388|h|a!"#$|10
1389|a|n!"#$|5
1390|d|d!"#$|2
1391| |!"#$%|3
1392|p|hyiuw|13
1393|i|e!"#$|11
1394|c|!"#$%|8
1395|k|elp!"|12
1396|e|v!"#$|6
1397|d|e!"#$|7
1398| |nr!"#|3
1399|h|!"#$%|10
1400|i|ft!"#|11
1401|m|i!"#$|12
1402| |n!"#$|3
1403|a|i!"#$|5
1404|s|s!"#$|2
1405| |h!"#$|3
1406|t|ei!"#|8
1407|h|d!"#$|10
1408|e|!"#$%|6
1409| |citae|3
1410|o|t!"#$|12
1411|n|.!"#$|11
1412|e|!"#$%|6
1413| |!"#$%|3
1414|I|e!"#$|11
1415|'|!"#$%|10
1416|d|s!"#$|7
1417| |t!"#$|3
1418|a|a!"#$|2
1419|l|r!"#$|13
1420|w|t!"#$|5
1421|a|e!"#$|5
1422|y|d!"#$|9
1423|s|,!"#$|6
1424| |tdrci|3
1425|w|ntm!"|5
1426|a|.!"#$|5
1427|n|a!"#$|11
1428|t|n!"#$|8
1429|e|d!"#$|6
1430|d|!"#$%|7
1431| |ths!"|3
1432|t|e!"#$|8
1433|o|'!"#$|12
1434| |bgtw!|3
1435|d|o!"#$|7
1436|a|lo!"#|5
1437|n|d!"#$|11
1438|c|!"#$%|8
1439|e|mhst!|6
1440| |t!"#$|3
1441|w|o!"#$|5
1442|i|r!"#$|11
1443|t|i!"#$|8
1444|h|e!"#$|10
1445| |s!"#$|3
1446|a|.!"#$|5
1447|n|atnhi|4
1448|d|ho!"#|7
1449| |ae!"#|3
1450|i|tn!"#|11
1451|t|,!"#$|8
1452| |!"#$%|3
1453|w|utdfy|5
1454|a|mh!"#|5
1455|s|,!"#$|6
1456|n|!"#$%|11
1457|'|tmshi|10
1458|t|m!"#$|8
1459| |,!"#$|3
1460|u|!"#$%|10
1461|n|bsdhm|11
1462|t|e!"#$|8
1463|i|n!"#$|11
1464|l|!"#$%|13
1465| |b!"#$|3
1466|w|e!"#$|5
1467|e|i!"#$|6
1468| |n!"#$|3
1469|g|g!"#$|2
1470|o|!"#$%|12
1471|t|i!"#$|8
1472| |n!"#$|3
1473|i|!"#$%|11
1474|n|tghi!|11
1475|t|t!"#$|2
1476|o|!"#$%|12
1477| |t!"#$|3
1478|h|h!"#$|2
1479|i|a!"#$|11
1480|g|t!"#$|9
1481|h|!"#$%|10
1482| |hw!"#|3
1483|s|o!"#$|6
1484|c|u!"#$|8
1485|h|s!"#$|10
1486|o|e!"#$|12
1487|o|,h!"#|12
1488|l|aio!"|13
1489| |lnt!"|3
1490|t|!"#$%|8
1491|h|tn!"#|10
1492|a|i!"#$|5
1493|t|g!"#$|8
1494| |h!"#$|3
1495|h|t!"#$|10
1496|e|,.t!"|6
1497| |awbs!|3
1498|n|n!"#$|2
1499|o|dy!"#|12
1500|t|!"#$%|8
1501|i|adstw|11
1502|c|,ht!"|8
1503|e|u!"#$|6
1504|d|f!"#$|7
1505| |f!"#$|3
1506|m|.,?e!|12
1507|e|laotb|6
1508|.|nt!"#|4
1509| |d!"#$|3
1510|A|,!"#$|5
1511|n|seafh|11
1512|d|o!"#$|7
1513| |r!"#$|3
1514|I|!"#$%|11
1515| |u!"#$|3
1516|w|s!"#$|5
1517|a|!"#$%|5
1518|s|n!"#$|6
1519| |o!"#$|3
1520|i|t!"#$|11
1521|n|!"#$%|11
1522| |at!"#|3
1523|a|o!"#$|5
1524| |!"#$%|3
1525|a|dgs!"|5
1526| |o!"#$|3
1527|t|!"#$%|8
1528|a|o!"#$|5
1529|l|u!"#$|13
1530|e|t!"#$|6
1531|n|s,!."|11
1532|t|i!"#$|8
1533| |d!"#$|3
1534|s|e!"#$|6
1535|h|.!"#$|10
1536|o|at!"#|12
1537|w|nt!"#|5
1538| |!"#$%|3
1539|w|n!"#$|5
1540|i|i!"#$|2
1541|t|g!"#$|8
1542|h|h!"#$|2
1543| |t!"#$|3
1544|m|,.t!"|12
1545|y|!"#$%|9
1546| |/!"#$|3
1547|g|o!"#$|9
1548|i|u!"#$|11
1549|r|l!"#$|7
1550|l|d!"#$|13
1551|f|!"#$%|8
1552|r|h!"#$|7
1553|i|e!"#$|11
1554|e|!"#$%|6
1555|n|hs!"#|11
1556|d|c!"#$|7
1557| |a!"#$|3
1558|a|r!"#$|5
1559|n|e!"#$|11
1560|d|!"#$%|7
1561| |y!"#$|3
1562|w|o!"#$|5
1563|e|u!"#$|6
1564| |?!"#$|3
1565|d|!"#$%|7
1566|i|!"#$%|11
1567|d|e!"#$|7
1568| |a!"#$|3
1569|a|h!"#$|5
1570| |.,!"#|3
1571|m|!"#$%|12
1572|o|!"#$%|12
1573|d|o!"#$|7
1574|e|,!"#$|6
1575|r|awyhm|7
1576|n|eh!"#|11
1577| |,!"#$|3
1578|d|!"#$%|7
1579|a|a!"#$|2
1580|n|t!"#$|11
1581|c|!"#$%|8
1582|e|a!"#$|6
1583| |!"#$%|3
1584|t|c!"#$|8
1585|o|e!"#$|12
1586| |r!"#$|3
1587|"|t!"#$|4
1588|P|a!"#$|13
1589|i|i!"#$|2
1590|n|n!"#$|2
1591|k|!"#$%|12
1592| |apctd|3
1593|P|ihy!"|13
1594|a|m!"#$|5
1595|n|e!"#$|11
1596|t|,!"#$|8
1597|h|!"#$%|10
1598|e|w!"#$|6
1599|r|e!"#$|7
1600|,|!"#$%|5
1601|"|wkst!|11
1602| |eo!"#|3
1603|a|r!"#$|5
1604|n|e!"#$|11
1605|d|n!"#$|7
1606| |adgit|3
1607|a|itkoc|5
1608|f|a!"#$|8
1609|t|r!"#$|8
1610|e|ey!"#|2
1611|r|d!"#$|7
1612| |!"#$%|3
1613|t|t!"#$|2
1614|h|o!"#$|10
1615|a|!"#$%|5
1616|t|dgltw|5
1617| |o!"#$|3
1618|m|!"#$%|12
1619|y|ao!"#|9
1620| |unv!"|3
1621|p|e!"#$|13
1622|h|r!"#$|10
1623|o|!"#$%|12
1624|n|t!"#$|11
1625|e|ho!"#|6
1626| |e!"#$|3
1627|d|r!"#$|7
1628|i|e!"#$|11
1629|d|,.!?"|7
1630|n|aiblt|11
1631|'|e!"#$|10
1632|t|cf!"#|8
1633| |a!"#$|3
1634|s|u!"#$|6
1635|t|s!"#$|8
1636|o|e!"#$|12
1637|p|,!"#$|13
1638| |twism|3
1639|r|eh!"#|7
1640|i|',!"#|11
1641|n|dr!"#|11
1642|g|!"#$%|9
1643|i|ab!"#|11
1644|n|l!"#$|11
1645|g|w!"#$|9
1646| |a!"#$|3
1647|f|y!"#$|8
1648|o|s!"#$|12
1649|r|!"#$%|7
1650| |gbeks|3
1651|a|oei!"|5
1652|w|to,.!|5
1653|h|oti!"|10
1654|i|u!"#$|11
1655|l|t!"#$|13
1656|e|s!"#$|6
1657|.|i!"#$|4
1658| |d!"#$|3
1659|A|e!"#$|5
1660|n|.!"#$|11
1661|d|at!"#|7
1662| |nt!"#|3
1663|y|d!"#$|9
1664|o|!"#$%|12
1665|u|l!"#$|10
1666|r|o!"#$|7
1667| |ov!"#|3
1668|d|k!"#$|7
1669|a|!"#$%|5
1670|d|af!"#|7
1671| |tc!"#|3
1672|c|!"#$%|8
1673|a|thu!"|5
1674|l|h!"#$|13
1675|l|eai!"|13
1676|e|,!"#$|6
1677|d|hklw!|7
1678| |o!"#$|3
1679|m|ut!"#|12
1680|e|s!"#$|6
1681| |e!"#$|3
1682|a|,.s!?|5
1683|n|atwio|11
1684|d|nc!"#|7
1685| |r!"#$|3
1686|a|o!"#$|5
1687|s|s!"#$|2
1688|k|s!"#$|12
1689|e|!"#$%|6
1690|d|t!"#$|7
1691| |ho!"#|3
1692|m|e!"#$|12
1693|e|ir!"#|6
1694| |sbcfh|3
1695|i|te!"#|11
1696|f|r!"#$|8
1697| |e!"#$|3
1698|I|e!"#$|11
1699| |t!"#$|3
1700|w|,.s!?|5
1701|a|!"#$%|5
1702|n|!"#$%|11
1703|t|m!"#$|8
1704|e|,!"#$|6
1705|d|!"#$%|7
1706| |ad!"#|3
1707|t|i!"#$|8
1708|o|d!"#$|12
1709| |!"#$%|3
1710|g|hstu!|9
1711|o|e!"#$|12
1712| |!"#$%|3
1713|o|t!"#$|12
1714|u|e!"#$|10
1715|t|l!"#$|8
1716| |l!"#$|3
1717|w|!"#$%|5
1718|i|s!"#$|11
1719|t|t!"#$|2
1720|h|o!"#$|10
1721| |r!"#$|3
1722|i|i!"#$|2
1723|s|e!"#$|6
1724| |s!"#$|3
1725|b|.?!"#|10
1726|e|atwbf|6
1727|s|ho!"#|6
1728|t|o!"#$|8
1729| |ymtb!|3
1730|f|i!"#$|8
1731|r|g!"#$|7
1732|i|!"#$%|11
1733|e|g!"#$|6
1734|n|r!"#$|11
1735|d|o!"#$|7
1736| |u!"#$|3
1737|T|p!"#$|8
1738|o|s!"#$|12
1739|m|!"#$%|12
1740| |o!"#$|3
1741|R|f!"#$|7
1742|i|!"#$%|11
1743|g|apu!"|9
1744|g|e!"#$|9
1745|e|o!"#$|6
1746|r|p!"#$|7
1747|,|l!"#$|5
1748| |e!"#$|3
1749|a|,.'?!|5
1750|n|!"#$%|11
1751|d|aoru!|7
1752| |r!"#$|3
1753|I|!"#$%|11
1754| |j!"#$|3
1755|s|u!"#$|6
1756|a|s!"#$|5
1757|i|t!"#$|11
1758|d|!"#$%|7
1759|,|do!"#|5
1760| |n!"#$|3
1761|"|e!"#$|4
1762|N|-!"#$|11
1763|e|o!"#$|6
1764|v|n!"#$|9
1765|e|-!"#$|6
1766|r|o!"#$|7
1767|.|n!"#$|4
1768|"|e!"#$|4
1769| |?!"#$|3
1770|T|!"#$%|8
1771|h|!"#$%|10
1772|i|u!"#$|11
1773|s|s!"#$|2
1774| |t!"#$|3
1775|g|!"#$%|9
1776|u|t!"#$|10
1777|y|o!"#$|9
1778| |!"#$%|3
1779|w|o!"#$|5
1780|a|u!"#$|5
1781|s|r!"#$|6
1782| |!"#$%|3
1783|n|c!"#$|11
1784|o|o!"#$|2
1785|t|u!"#$|8
1786| |s!"#$|3
1787|m|i!"#$|12
1788|y|n!"#$|9
1789| |s!"#$|3
1790|t|?!"#$|8
1791|y|awor!|9
1792|p|npr!"|3
1793|e|d!"#$|6
1794| |!"#$%|3
1795|a|amotw|2
1796|n|l!"#$|11
1797|d|l!"#$|7
1798| |!"#$%|3
1799|s|tok!"|6
1800|o|fv!"#|12
1801| |!"#$%|3
1802|h|tauhm|5
1803|e|s!"#$|6
1804| |,.!"#|3
1805|s|atw!"|6
1806|a|h!"#$|5
1807|i|a!"#$|11
1808|d|t!"#$|7
1809|,|!"#$%|5
1810| |hw!"#|3
1811|"|u!"#$|4
1812|W|n!"#$|5
1813|o|g!"#$|12
1814|u|!"#$%|10
1815|l|ao!"#|13
1816|d|r!"#$|7
1817| |o!"#$|3
1818|y|u!"#$|9
1819|o|n!"#$|12
1820|u|d!"#$|10
1821| |!"#$%|3
1822|l|twa1e|13
1823|i|a!"#$|11
1824|k|ct!"#|12
1825|e|h!"#$|6
1826| |!"#$%|3
1827|t|o!"#$|8
1828|o|t!"#$|12
1829| |h!"#$|3
1830|g|e!"#$|9
1831|o|r!"#$|12
1832| |.,'!"|3
1833|o|afbce|12
1834|u|nlfs!|10
1835|t|l!"#$|8
1836| |!"#$%|3
1837|w|tw!"#|3
1838|i|h!"#$|11
1839|t|e!"#$|8
1840|h|s!"#$|10
1841| |twdbf|3
1842|m|irhow|12
1843|e|m!"#$|6
1844|?|e!"#$|6
1845|"|.,!?"|6
1846| |!"#$%|3
1847|a|/!"#$|5
1848|n|hm!"#|11
1849|d|,-!"#|7
1850| |h!"#$|3
1851|I|u!"#$|11
1852| |h!"#$|3
1853|s|.!"#$|6
1854|a|!"#$%|5
1855|i|"!#$%|11
1856|d|oe!"#|7
1857|,|w.!"#|5
1858| |,!"#$|3
1859|"|!"#$%|3
1860|Y|do!"#|9
1861|e|o!"#$|6
1862|s|!"#$%|6
1863|,|y!"#$|5
1864| |o!"#$|3
1865|I|u!"#$|11
1866| |!"#$%|3
1867|w|h!"#$|5
1868|o|a!"#$|12
1869|u|v!"#$|10
1870|l|e!"#$|13
1871|d|?!"#$|7
1872|,|atlbs|5
1873|"|i!"#$|4
1874| |d!"#$|3
1875|a|s!"#$|5
1876|n|,!"#$|11
1877|d|a!"#$|7
1878| |t!"#$|3
1879|s|!"#$%|6
1880|o|sy!"#|12
1881| |o!"#$|3
1882|t|u!"#$|8
1883|h|r!"#$|10
1884|a|!"#$%|5
1885|t|hg!"#|8
1886|'|o!"#$|10
1887|s|u!"#$|6
1888| |s!"#$|3
1889|w|e!"#$|5
1890|h|?,s!"|10
1891|e|!"#$%|6
1892|n|!"#$%|11
1893| |o!"#$|3
1894|w|.!"#$|5
1895|e|!"#$%|6
1896| |!"#$%|3
1897|s|n!"#$|6
1898|t|l!"#$|8
1899|a|y!"#$|5
1900|r|,!"#$|7
1901|t|!"#$%|8
1902|e|o!"#$|6
1903|d|n!"#$|7
1904| |l!"#$|3
1905|d|y!"#$|7
1906|a|!"#$%|5
1907|t|ao!"#|8
1908|i|n!"#$|11
1909|n|!"#$%|11
1910|g|t!"#$|9
1911|.|u!"#$|4
1912| |n!"#$|3
1913|W|d!"#$|5
1914|h|a!"#$|10
1915|y|y!"#$|2
1916| |s,:!"|3
1917|d|!"#$%|7
1918|i|m!"#$|11
1919|d|y!"#$|7
1920| |!"#$%|3
1921|y|n!"#$|9
1922|o|i!"#$|12
1923|u|e!"#$|10
1924| |c!"#$|3
1925|l|e!"#$|13
1926|i|!"#$%|11
1927|k|aw!"#|12
1928|e|n!"#$|6
1929| |d!"#$|3
1930|h|!"#$%|10
1931|i|n!"#$|11
1932|m|e!"#$|12
1933|?|p!"#$|6
1934| |h!"#$|3
1935|B|e!"#$|10
1936|e|w!"#$|6
1937|s|!"#$%|6
1938|i|ap!"#|11
1939|d|n!"#$|7
1940|e|d!"#$|6
1941|s|!"#$%|6
// Total scan time: 13655
